policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,auto_make,auto_model,fraud_reported
IL,100/300,MALE,Masters,prof-specialty,movies,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,Northbend,2494 Andromedia Drive,3,NO,1,2,YES,Jeep,Grand Cherokee,N
OH,500/1000,MALE,Associate,armed-forces,paintball,unmarried,Vehicle Theft,Rear Collision,Minor Damage,None,NC,Riverwood,4615 Embaracadero Ave,1,YES,1,2,NO,Dodge,RAM,N
OH,500/1000,FEMALE,High School,machine-op-inspct,basketball,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,1929 Britain Drive,1,NO,1,3,NO,Suburu,Legacy,N
OH,500/1000,FEMALE,Masters,transport-moving,bungie-jumping,wife,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Riverwood,5051 Elm St,1,NO,0,2,YES,Mercedes,ML350,N
OH,250/500,FEMALE,JD,priv-house-serv,exercise,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,9910 Maple Ave,1,YES,1,2,YES,Jeep,Grand Cherokee,N
IN,500/1000,MALE,High School,priv-house-serv,board-games,unmarried,Vehicle Theft,Rear Collision,Trivial Damage,Police,NC,Riverwood,5602 Britain St,1,NO,1,3,NO,Jeep,Wrangler,N
IL,250/500,FEMALE,JD,exec-managerial,paintball,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Other,NY,Springfield,6889 Cherokee St,1,NO,2,0,NO,BMW,X5,N
IN,100/300,FEMALE,College,tech-support,chess,husband,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbend,3926 Rock Lane,1,NO,2,2,NO,Volkswagen,Jetta,N
IN,250/500,MALE,MD,prof-specialty,video-games,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbend,6717 Best Drive,1,NO,1,0,NO,Toyota,Camry,N
IN,500/1000,MALE,High School,handlers-cleaners,hiking,husband,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,6117 4th Ave,1,NO,0,0,NO,Toyota,Corolla,N
IN,100/300,FEMALE,MD,other-service,kayaking,wife,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbend,2668 Cherokee St,1,NO,0,0,NO,Ford,Fusion,N
IN,500/1000,MALE,Masters,machine-op-inspct,base-jumping,husband,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Arlington,6838 Flute Lane,3,NO,0,3,YES,Suburu,Forrestor,Y
OH,500/1000,FEMALE,College,exec-managerial,basketball,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,6583 MLK Ridge,4,NO,0,0,NO,Chevrolet,Silverado,Y
IL,500/1000,MALE,Masters,farming-fishing,cross-fit,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,6492 4th Lane,1,NO,0,2,NO,BMW,X5,N
IN,100/300,FEMALE,High School,priv-house-serv,polo,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,Hillsdale,7299 Apache St,1,NO,1,0,NO,Nissan,Maxima,N
IL,100/300,FEMALE,Masters,exec-managerial,camping,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Springfield,2756 Britain Hwy,3,NO,0,0,NO,Mercedes,ML350,Y
IN,500/1000,MALE,Masters,transport-moving,bungie-jumping,own-child,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,9360 3rd Drive,1,YES,2,3,NO,Nissan,Maxima,N
IN,250/500,FEMALE,JD,transport-moving,sleeping,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Arlington,1655 Francis Hwy,4,YES,1,2,YES,Dodge,Neon,N
OH,500/1000,FEMALE,PhD,priv-house-serv,yachting,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,Columbus,9720 Lincoln Hwy,3,NO,0,0,YES,Saab,92x,N
OH,100/300,FEMALE,Masters,priv-house-serv,base-jumping,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbend,7066 Texas Ave,1,YES,1,0,NO,Audi,A5,Y
IL,100/300,MALE,College,priv-house-serv,exercise,wife,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Columbus,9728 Britain Hwy,1,NO,2,3,YES,Dodge,RAM,N
OH,100/300,MALE,Associate,priv-house-serv,skydiving,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Riverwood,4486 Cherokee Ridge,1,NO,0,3,NO,Honda,CRV,N
OH,250/500,MALE,MD,machine-op-inspct,reading,wife,Single Vehicle Collision,Side Collision,Total Loss,Police,PA,Northbend,8021 Flute Ave,1,NO,1,0,NO,Dodge,Neon,N
IL,100/300,MALE,JD,exec-managerial,bungie-jumping,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Fire,PA,Riverwood,2774 Apache Drive,1,NO,1,2,NO,Suburu,Legacy,N
OH,500/1000,FEMALE,PhD,priv-house-serv,chess,not-in-family,Parked Car,Rear Collision,Trivial Damage,Police,NC,Hillsdale,2787 MLK St,1,NO,2,2,NO,Mercedes,ML350,Y
IL,500/1000,FEMALE,PhD,other-service,sleeping,own-child,Vehicle Theft,Rear Collision,Trivial Damage,Police,WV,Northbrook,9847 Elm St,1,NO,1,1,NO,Audi,A5,N
IN,250/500,MALE,JD,handlers-cleaners,polo,unmarried,Parked Car,Front Collision,Trivial Damage,None,VA,Hillsdale,4629 Elm Ridge,1,YES,2,1,YES,Nissan,Pathfinder,N
IN,500/1000,MALE,Masters,protective-serv,yachting,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,Columbus,5585 Washington Drive,1,NO,0,2,NO,Dodge,Neon,N
OH,100/300,MALE,MD,tech-support,board-games,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Other,WV,Hillsdale,3925 Sky St,3,NO,0,3,NO,Dodge,Neon,N
IN,250/500,FEMALE,PhD,transport-moving,exercise,wife,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,3903 Oak Ave,1,YES,0,0,NO,Suburu,Legacy,Y
IN,500/1000,FEMALE,JD,protective-serv,paintball,not-in-family,Parked Car,Rear Collision,Minor Damage,None,VA,Columbus,3805 Lincoln Hwy,1,NO,2,1,NO,Jeep,Grand Cherokee,N
IN,500/1000,FEMALE,Associate,sales,reading,other-relative,Parked Car,Rear Collision,Minor Damage,None,NC,Arlington,4055 2nd Drive,1,NO,0,0,NO,Dodge,Neon,N
IN,500/1000,FEMALE,High School,farming-fishing,chess,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbend,3707 Oak Ridge,1,YES,1,1,NO,Chevrolet,Silverado,Y
IN,250/500,FEMALE,JD,priv-house-serv,dancing,own-child,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,Springfield,7327 Lincoln Drive,1,YES,2,3,YES,Jeep,Wrangler,N
IL,250/500,MALE,Associate,tech-support,exercise,wife,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NC,Riverwood,9369 Flute Hwy,1,YES,2,2,NO,Chevrolet,Malibu,N
OH,100/300,FEMALE,PhD,adm-clerical,yachting,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Arlington,4239 Weaver Ave,1,NO,1,0,NO,Dodge,Neon,N
IL,100/300,FEMALE,Masters,other-service,reading,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Northbend,6044 Weaver Drive,4,NO,0,3,NO,BMW,X6,N
OH,100/300,FEMALE,PhD,other-service,base-jumping,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Northbrook,8879 1st Drive,1,YES,0,1,NO,Toyota,Camry,N
IN,100/300,FEMALE,College,transport-moving,reading,husband,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,9488 Best Drive,1,NO,2,0,YES,Chevrolet,Malibu,N
IL,500/1000,FEMALE,College,priv-house-serv,board-games,unmarried,Parked Car,Rear Collision,Trivial Damage,None,NY,Hillsdale,7500 Texas Ridge,1,YES,1,0,NO,Audi,A3,N
IL,250/500,FEMALE,Associate,transport-moving,reading,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,2048 3rd Ridge,3,NO,2,1,NO,Suburu,Forrestor,N
IL,250/500,FEMALE,Associate,machine-op-inspct,board-games,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Other,NY,Northbend,3419 Apache St,1,NO,2,3,NO,Chevrolet,Malibu,N
IL,500/1000,MALE,Associate,adm-clerical,video-games,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Police,WV,Springfield,9875 MLK Ave,3,YES,2,0,NO,Ford,Escape,N
IN,100/300,MALE,Masters,craft-repair,yachting,husband,Vehicle Theft,Rear Collision,Minor Damage,Police,NY,Columbus,3553 Texas Ave,1,NO,0,1,YES,Dodge,Neon,N
IL,100/300,MALE,Masters,transport-moving,movies,own-child,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Riverwood,4335 1st St,1,NO,2,1,YES,Volkswagen,Passat,Y
OH,500/1000,FEMALE,MD,priv-house-serv,board-games,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Hillsdale,9070 Tree Ave,1,YES,0,2,NO,Jeep,Wrangler,N
IN,500/1000,FEMALE,PhD,other-service,yachting,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Hillsdale,3900 Texas St,1,YES,2,3,NO,Accura,MDX,N
OH,250/500,FEMALE,High School,tech-support,base-jumping,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Riverwood,9657 5th Ave,1,NO,2,2,NO,Volkswagen,Passat,Y
IL,100/300,MALE,MD,protective-serv,board-games,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,5765 Washington St,1,YES,0,2,NO,Honda,Accord,N
IL,100/300,FEMALE,PhD,tech-support,hiking,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Police,SC,Arlington,5997 Embaracadero Drive,3,NO,2,1,YES,Suburu,Impreza,Y
IL,100/300,MALE,JD,prof-specialty,golf,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Springfield,1738 Solo Lane,3,NO,2,0,NO,Saab,93,N
OH,500/1000,MALE,PhD,handlers-cleaners,skydiving,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,SC,Columbus,2903 Weaver Drive,3,YES,2,2,NO,Nissan,Ultima,N
IL,500/1000,FEMALE,Associate,handlers-cleaners,dancing,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Police,VA,Springfield,8926 Texas Ridge,1,NO,2,1,NO,BMW,M5,N
IN,100/300,FEMALE,Masters,transport-moving,camping,wife,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Northbend,4231 3rd Ave,3,NO,0,1,YES,Chevrolet,Tahoe,N
IL,250/500,FEMALE,College,protective-serv,exercise,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,8049 4th St,3,YES,0,0,NO,Volkswagen,Passat,N
OH,100/300,FEMALE,High School,farming-fishing,yachting,not-in-family,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6501 5th Drive,3,NO,2,2,NO,Volkswagen,Passat,N
IL,100/300,FEMALE,PhD,protective-serv,kayaking,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NC,Hillsdale,7909 Andromedia Hwy,3,NO,2,2,NO,Volkswagen,Jetta,N
OH,100/300,FEMALE,JD,craft-repair,skydiving,husband,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Riverwood,5865 Sky Lane,1,NO,2,3,NO,Nissan,Maxima,Y
IL,500/1000,MALE,MD,tech-support,video-games,unmarried,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,WV,Springfield,1957 Washington Ave,3,YES,1,2,NO,Dodge,Neon,N
IL,250/500,MALE,PhD,armed-forces,hiking,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Riverwood,7649 Texas St,3,NO,2,0,YES,BMW,X6,N
IL,100/300,FEMALE,PhD,farming-fishing,kayaking,wife,Vehicle Theft,Rear Collision,Trivial Damage,None,SC,Columbus,1992 Britain Drive,1,NO,1,0,NO,Nissan,Maxima,N
IL,500/1000,MALE,JD,exec-managerial,chess,other-relative,Parked Car,Rear Collision,Minor Damage,Police,PA,Springfield,9685 Sky Ridge,1,NO,2,2,NO,Toyota,Camry,Y
OH,500/1000,FEMALE,Masters,other-service,golf,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Police,NC,Hillsdale,3457 Texas Lane,3,NO,1,1,NO,Nissan,Ultima,N
IL,250/500,MALE,High School,adm-clerical,polo,husband,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Columbus,7693 Cherokee Lane,1,NO,0,3,YES,Saab,92x,Y
OH,100/300,MALE,MD,farming-fishing,cross-fit,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Northbend,3167 4th Ridge,1,NO,0,1,YES,Saab,95,Y
IL,500/1000,MALE,Masters,armed-forces,chess,unmarried,Vehicle Theft,Rear Collision,Minor Damage,Police,NC,Riverwood,1617 Rock Drive,1,NO,1,2,NO,Mercedes,C300,Y
IN,250/500,MALE,MD,sales,yachting,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,7877 3rd Ridge,1,NO,2,1,NO,Mercedes,ML350,Y
IL,100/300,MALE,College,exec-managerial,sleeping,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Springfield,9325 Lincoln Drive,3,NO,0,2,NO,Ford,Fusion,N
OH,250/500,FEMALE,Masters,priv-house-serv,polo,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,PA,Northbrook,5855 Apache St,1,NO,0,0,NO,Accura,MDX,N
IN,500/1000,MALE,JD,handlers-cleaners,golf,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,Riverwood,1328 Texas Lane,3,NO,0,3,NO,Volkswagen,Passat,Y
IL,100/300,MALE,JD,armed-forces,camping,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,4567 Pine Ave,2,YES,2,0,NO,BMW,3 Series,N
OH,100/300,MALE,High School,armed-forces,video-games,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Springfield,7575 Pine St,1,NO,2,0,NO,Jeep,Wrangler,N
IN,100/300,MALE,Associate,adm-clerical,exercise,husband,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Springfield,2850 Washington St,1,NO,2,1,NO,Nissan,Maxima,N
OH,500/1000,MALE,High School,other-service,golf,husband,Single Vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,9169 Cherokee Hwy,1,NO,0,0,NO,Chevrolet,Malibu,N
IN,500/1000,FEMALE,High School,armed-forces,yachting,other-relative,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Springfield,6443 Washington Ridge,3,NO,0,0,NO,Dodge,RAM,N
IL,100/300,MALE,College,prof-specialty,exercise,own-child,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Northbend,6751 5th Hwy,1,NO,0,3,YES,Mercedes,ML350,N
OH,250/500,MALE,JD,transport-moving,cross-fit,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Columbus,2289 Weaver Ridge,3,NO,0,2,NO,Dodge,Neon,Y
OH,500/1000,MALE,High School,armed-forces,movies,unmarried,Vehicle Theft,Front Collision,Minor Damage,None,WV,Arlington,8306 1st Drive,1,YES,1,1,NO,Toyota,Corolla,N
IL,100/300,FEMALE,High School,machine-op-inspct,reading,unmarried,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Northbend,2603 Andromedia Hwy,3,YES,1,3,NO,Jeep,Grand Cherokee,N
OH,250/500,MALE,MD,machine-op-inspct,camping,wife,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Northbrook,6479 Francis Ave,3,NO,0,2,NO,Saab,95,N
IN,100/300,FEMALE,Masters,adm-clerical,reading,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,6428 Andromedia Lane,1,NO,1,2,NO,Chevrolet,Malibu,N
OH,250/500,FEMALE,Associate,armed-forces,board-games,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Northbrook,9081 Cherokee Hwy,3,NO,2,3,NO,Dodge,RAM,Y
IN,100/300,MALE,PhD,prof-specialty,camping,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Springfield,1532 Washington St,1,NO,0,3,NO,Chevrolet,Tahoe,N
IL,500/1000,MALE,Associate,machine-op-inspct,hiking,husband,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Northbend,4625 MLK Drive,1,NO,1,2,NO,Accura,MDX,N
OH,500/1000,MALE,College,tech-support,base-jumping,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Springfield,1529 Elm Ridge,4,NO,1,1,NO,Accura,MDX,N
IL,250/500,MALE,MD,exec-managerial,exercise,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Arlington,2086 Francis Drive,1,NO,0,0,NO,Mercedes,ML350,Y
IN,100/300,FEMALE,PhD,craft-repair,camping,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Other,NC,Northbend,9066 Best Ridge,1,YES,1,1,YES,Saab,95,N
OH,500/1000,FEMALE,JD,craft-repair,paintball,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbrook,7178 Best Drive,1,NO,2,3,YES,Honda,CRV,N
IN,250/500,MALE,Masters,tech-support,sleeping,husband,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Columbus,9821 Francis Ave,1,NO,0,2,NO,Mercedes,ML350,N
IL,100/300,FEMALE,Associate,armed-forces,exercise,husband,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,7061 Cherokee Drive,1,YES,1,1,NO,Nissan,Ultima,N
IL,500/1000,FEMALE,PhD,handlers-cleaners,board-games,own-child,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,1325 1st Lane,1,NO,1,0,NO,Accura,TL,N
OH,100/300,FEMALE,JD,farming-fishing,skydiving,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,VA,Hillsdale,3769 Sky St,2,YES,1,0,NO,Ford,F150,Y
IL,100/300,MALE,MD,sales,reading,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,8489 Pine Hwy,1,NO,2,1,NO,Jeep,Grand Cherokee,N
IL,500/1000,FEMALE,PhD,tech-support,paintball,other-relative,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Riverwood,6329 Apache Ave,3,NO,2,1,NO,Nissan,Ultima,N
IL,100/300,MALE,High School,prof-specialty,yachting,husband,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Northbrook,9293 Pine Lane,1,NO,2,2,YES,Accura,MDX,N
IN,500/1000,FEMALE,High School,machine-op-inspct,board-games,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,9224 Sky Drive,3,NO,0,1,NO,Honda,CRV,N
IL,500/1000,MALE,College,sales,golf,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,8862 Maple Ridge,3,YES,2,0,NO,Mercedes,E400,N
OH,250/500,MALE,High School,priv-house-serv,reading,husband,Single Vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,3492 Flute Lane,1,NO,2,0,NO,Audi,A3,N
OH,500/1000,FEMALE,JD,sales,paintball,husband,Parked Car,Rear Collision,Trivial Damage,Police,NY,Hillsdale,6484 Tree Drive,1,NO,2,3,NO,Volkswagen,Jetta,N
IL,250/500,MALE,JD,other-service,hiking,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,4554 Sky Ave,1,NO,2,1,YES,Nissan,Pathfinder,N
IL,250/500,FEMALE,College,transport-moving,chess,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,PA,Northbrook,5201 Texas Hwy,3,YES,0,2,NO,Dodge,RAM,Y
IL,100/300,FEMALE,College,other-service,cross-fit,husband,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Arlington,3982 Weaver Lane,1,NO,0,0,NO,Honda,Civic,N
OH,250/500,FEMALE,JD,tech-support,movies,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3660 Andromedia Hwy,1,NO,0,3,YES,Mercedes,E400,N
IN,100/300,FEMALE,College,adm-clerical,exercise,wife,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,7135 Flute Lane,1,NO,1,2,YES,Chevrolet,Silverado,N
IL,250/500,MALE,High School,armed-forces,hiking,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,4414 Solo Drive,3,NO,1,0,NO,Jeep,Wrangler,Y
IL,250/500,MALE,JD,protective-serv,camping,other-relative,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Hillsdale,2920 5th Ave,3,NO,1,0,NO,Jeep,Grand Cherokee,N
IL,500/1000,FEMALE,Associate,tech-support,exercise,unmarried,Vehicle Theft,Front Collision,Trivial Damage,Police,NY,Northbrook,2986 MLK Drive,1,NO,0,1,NO,Chevrolet,Tahoe,N
IN,100/300,MALE,JD,transport-moving,hiking,own-child,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Riverwood,1580 Maple Lane,1,NO,0,2,NO,Accura,RSX,N
IL,250/500,FEMALE,PhD,farming-fishing,skydiving,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,3706 Texas Hwy,1,YES,1,3,NO,Audi,A5,N
IN,100/300,MALE,College,farming-fishing,hiking,other-relative,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Northbend,9109 Britain Drive,4,NO,0,2,YES,Honda,Civic,N
OH,100/300,FEMALE,MD,craft-repair,video-games,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Northbend,2290 4th Ave,3,YES,2,1,YES,Ford,F150,N
OH,250/500,FEMALE,Associate,tech-support,skydiving,own-child,Parked Car,Rear Collision,Minor Damage,Police,NC,Northbrook,4232 Britain Ridge,1,NO,1,2,NO,Toyota,Corolla,N
IL,100/300,FEMALE,JD,prof-specialty,exercise,own-child,Vehicle Theft,Rear Collision,Trivial Damage,Police,SC,Riverwood,6677 Andromedia Drive,1,YES,1,1,NO,Jeep,Grand Cherokee,N
IL,100/300,FEMALE,High School,prof-specialty,kayaking,husband,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,5868 Sky Hwy,3,NO,2,0,YES,Suburu,Legacy,N
IN,100/300,FEMALE,Masters,sales,basketball,other-relative,Vehicle Theft,Rear Collision,Trivial Damage,Police,SC,Columbus,3053 Lincoln Drive,1,NO,1,1,NO,Ford,F150,N
IL,100/300,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,7041 Tree Ridge,1,NO,0,1,NO,Jeep,Grand Cherokee,N
IN,250/500,FEMALE,High School,sales,video-games,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,7223 Embaracadero St,1,YES,1,3,NO,BMW,X5,Y
IL,500/1000,FEMALE,Masters,sales,exercise,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Columbus,8081 Flute Ridge,1,NO,2,3,YES,Chevrolet,Malibu,N
IN,100/300,FEMALE,College,prof-specialty,dancing,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Springfield,8618 Texas Lane,1,NO,0,0,NO,Accura,MDX,N
IL,100/300,MALE,PhD,craft-repair,skydiving,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Riverwood,3508 Washington St,3,NO,1,3,YES,Mercedes,C300,N
IN,500/1000,MALE,JD,adm-clerical,paintball,not-in-family,Vehicle Theft,Rear Collision,Minor Damage,None,SC,Columbus,2193 4th Ridge,1,NO,0,3,NO,Mercedes,ML350,N
OH,100/300,FEMALE,PhD,armed-forces,sleeping,wife,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbend,8897 Sky St,3,NO,1,2,YES,Nissan,Pathfinder,N
OH,250/500,FEMALE,College,sales,dancing,wife,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Arlington,9611 Pine Ridge,1,NO,1,0,YES,Accura,MDX,Y
IL,250/500,MALE,MD,tech-support,basketball,husband,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Arlington,7825 1st Ridge,3,NO,1,3,YES,Volkswagen,Jetta,N
IL,250/500,FEMALE,Associate,priv-house-serv,reading,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,3039 Oak Hwy,3,YES,2,1,NO,Nissan,Ultima,N
IL,250/500,MALE,High School,adm-clerical,paintball,own-child,Parked Car,Rear Collision,Minor Damage,None,VA,Northbend,8204 Pine Lane,1,YES,1,3,NO,Dodge,Neon,Y
IN,250/500,FEMALE,College,prof-specialty,hiking,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,9787 Andromedia Ave,1,NO,0,2,YES,BMW,X5,N
OH,500/1000,FEMALE,PhD,other-service,reading,wife,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,9633 Rock Hwy,1,NO,2,2,NO,Volkswagen,Jetta,N
OH,250/500,FEMALE,JD,farming-fishing,paintball,other-relative,Parked Car,Front Collision,Trivial Damage,Police,NC,Arlington,6303 1st Drive,1,NO,0,2,YES,Mercedes,E400,N
IL,100/300,FEMALE,MD,prof-specialty,paintball,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,2014 Rock Ave,3,YES,1,3,NO,Saab,92x,N
OH,100/300,FEMALE,Masters,protective-serv,golf,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Northbrook,8983 Tree St,3,YES,0,0,YES,Suburu,Impreza,N
IN,100/300,MALE,MD,prof-specialty,yachting,husband,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Arlington,6260 5th Lane,1,YES,0,1,NO,Honda,Civic,Y
IN,250/500,FEMALE,Associate,sales,paintball,own-child,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Hillsdale,2725 Britain Ridge,1,YES,1,3,NO,Suburu,Forrestor,N
IN,100/300,MALE,MD,prof-specialty,board-games,wife,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Hillsdale,3089 Oak Ridge,1,NO,0,2,NO,Audi,A5,N
OH,100/300,MALE,MD,armed-forces,polo,unmarried,Multi-vehicle Collision,Side Collision,Major Damage,Other,OH,Northbrook,6206 3rd Ridge,3,YES,2,1,YES,Ford,F150,Y
IN,250/500,MALE,JD,tech-support,golf,other-relative,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,Springfield,7240 5th Ridge,1,NO,1,2,NO,Accura,TL,N
OH,250/500,MALE,PhD,armed-forces,dancing,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Arlington,8100 3rd Ave,3,NO,2,1,NO,BMW,X6,N
